,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3160,18999,2011,3,8,120087,clean,automatic,4wd,mid-size,44.73188,-93.2162,43.0
3162,34455,2016,4,6,28916,clean,automatic,4wd,full-size,41.274936,-95.937166,46.0
3165,3000,1999,2,8,288000,clean,automatic,fwd,full-size,29.648974,-82.384586,65.0
3166,34995,2015,3,6,63373,clean,automatic,4wd,full-size,45.832707,-95.388536,43.0
3167,11995,2008,2,8,67506,clean,automatic,4wd,full-size,39.834179,-75.124291,52.0
3170,21997,2014,4,6,111248,clean,automatic,rwd,full-size,37.711627,-122.138132,59.0
3171,1700,1998,1,6,215000,clean,manual,rwd,full-size,36.1464,-95.9526,57.0
3172,14995,2007,3,8,141653,clean,automatic,4wd,full-size,38.084394,-89.339761,48.0
3175,4000,1998,1,8,200000,clean,automatic,4wd,full-size,32.3366,-111.1771,71.0
3176,32990,2018,3,8,17621,clean,automatic,rwd,full-size,43.15481,-75.932436,53.0
3178,25995,2014,3,6,85960,clean,automatic,4wd,full-size,43.4883,-76.393469,53.0
3179,17770,2011,3,6,118517,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
3180,8500,1993,3,8,148655,clean,automatic,4wd,full-size,33.6773,-118.0051,59.0
3181,8890,2007,2,8,109974,clean,automatic,4wd,full-size,43.575419,-76.121154,53.0
3182,26999,2014,3,6,43140,clean,automatic,4wd,mid-size,43.78124,-88.50265,45.0
3183,6950,2007,3,8,126850,rebuilt,automatic,fwd,full-size,30.260915,-97.713716,67.0
3184,1200,1991,1,8,4210,clean,automatic,4wd,full-size,42.7178,-114.5012,47.0
3185,14899,2014,2,6,90154,clean,automatic,rwd,full-size,25.774109,-80.23063499999999,65.0
3186,16995,2007,3,8,30415,clean,automatic,4wd,full-size,47.830597,-110.662694,40.0
3188,12488,2010,2,8,144570,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
3189,6100,1998,3,8,140000,clean,automatic,rwd,full-size,35.3228,-84.7364,59.0
3190,14495,2009,2,8,102910,clean,automatic,4wd,full-size,39.055092,-84.258084,49.0
3192,13988,2011,2,6,146699,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
3193,7500,2006,2,8,145327,clean,automatic,4wd,full-size,29.956693,-89.97834399999999,67.0
3194,7000,2005,3,8,119590,clean,automatic,4wd,full-size,31.0534,-89.4543,61.0
3197,21995,2011,3,6,108029,clean,automatic,4wd,full-size,41.78172199999999,-72.533825,51.0
3199,22995,2012,2,8,53179,clean,automatic,4wd,full-size,42.970214,-90.112347,45.0
3200,29985,2013,3,6,58088,clean,automatic,4wd,full-size,33.843197,-87.248745,61.0
